State,total_expenditure_millions,transportation_expenditure_millions,residential_expenditure_millions,gdp_millions,population_thousands
AK,5720.1,3338,812.1,54385.6,734
AL,21251.6,9219.2,4690.6,228142.6,4908
AR,12024.6,5543.2,2323,130954.1,3021
AZ,23513.8,12687.8,5062.2,370119.1,7292
CA,139423.1,77038.7,23629.6,3132800.6,39438
CO,18746,9239,3815.3,392986,5758
CT,13576.4,5000.8,4795,287822.2,3566
DC,2124.1,405.3,486.6,143389.3,708
DE,3757,1780.6,892.8,77082.4,977
FL,62734.8,32675.7,15480.2,1106500.1,21492
GA,36665.6,17456.3,9067.5,625713.6,10628
HI,6724.6,3613.1,932.3,95744.3,1416
IA,15123.7,6089,2770.4,194658.1,3160
ID,6710.7,3651.9,1265.7,83665.5,1789
IL,42644.5,19771.3,9902.6,885583,12667
IN,28787.9,11590.7,5771.8,379684.1,6731
KS,11969.2,5391.5,2525.7,176493.1,2913
KY,19031,9613.1,3635.5,215398.9,4472
LA,29842.4,8636.1,3503.2,256918.5,4658
MA,25853.4,9790.9,8067.6,596593.1,6895
MD,19441.9,9304.2,5102.4,426747.4,6055
ME,5866.7,2333.9,1837.5,67717.1,1346
MI,34830.8,15166.6,8947.6,536888.3,9985
MN,21983.8,10072.5,4708.2,383777,5640
MO,22478.7,11159.7,5512.9,328400.6,6140
MS,12469.3,6210.1,2502,115971.3,2978
MT,5024.5,2574.9,1018.3,52934.6,1070
NC,34165.8,16497.1,8340.9,591600.9,10501
ND,5929.9,2491.1,762.2,57180.9,764
NE,8847.3,4275.9,1556.3,130011.8,1933
NH,5548.7,2193.5,1844.6,87634.1,1361
NJ,30433.2,14296.2,7528.8,634783.6,8891
NM,7958.3,4489.8,1307.9,105143.4,2100
NV,11010.3,6016.4,2073.4,178199.4,3091
NY,58747.6,23344.3,18070.5,1772260.7,19463
OH,41987.8,18260.1,9995.8,695361.6,11697
OK,16003.7,8097.1,3228.1,202036.1,3961
OR,14119.5,7547.3,2843.6,253623.2,4216
PA,45882.7,19219.3,12435.2,808737.5,12799
RI,3640.8,1243.8,1246.2,61883.8,1058
SC,19580.3,9234.4,4567.6,247543.8,5158
SD,4142.8,1965.9,798.6,54940.9,887
TN,26001.7,12949.5,5469.9,376582.4,6830
TX,137949.5,59089.6,21251.8,1843802.7,28987
UT,10028.8,5704,1696.7,192519.2,3203
VA,30605.7,14871.3,7272.1,556905.2,8557
VT,2735.8,1032.7,917.1,34013.4,624
WA,25751.9,14885.2,4910.2,612996.5,7614
WI,21987.3,9644.2,4951.9,349416.5,5825
WV,8012.8,3445.4,1645.8,78863.9,1795
WY,4695.1,2218.4,528.5,40420.1,580