statecode,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose,PerCapitapersonalincome2016,PerCapitapersonalincome2017,PerCapitapersonalincome2018,Percentchangefromprecedingyear2017,Percentchangefromprecedingyear2018,GDP2015,GDP2016,GDP2017,GDP2018,PercentchangeGDPfromprecedingyear2016,PercentchangeGDPfromprecedingyear2017,PercentchangeGDPfromprecedingyear2018,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,Populationpersquaremile2010,TotalemploymentnumberofjobsUmp,WageandsalaryemploymentUmp,ProprietorsemploymentUmp,FarmproprietorsemploymentUmp,NonfarmproprietorsemploymentUmp,FarmemploymentUmp,NonfarmemploymentUmp,PrivatenonfarmemploymentUmp,ForestryfishingandrelatedactivitiesUmp,MiningquarryingandoilandgasextractionUmp,UtilitiesUmp,ConstructionUmp,ManufacturingUmp,WholesaletradeUmp,RetailtradeUmp,TransportationandwarehousingUmp,InformationUmp,FinanceandinsuranceUmp,RealestateandrentalandleasingUmp,ProfessionalscientificandtechnicalservicesUmp,ManagementofcompaniesandenterprisesUmp,AdministrativeandsupportandwastemanagementandremediationsUmp,EducationalservicesUmp,HealthcareandsocialassistanceUmp,ArtsentertainmentandrecreationUmp,AccommodationandfoodservicesUmp,OtherservicesexceptgovernmentandgovernmententerprisesUmp,GovernmentandgovernmententerprisesUmp,FederalcivilianUmp,MilitaryUmp,StateandlocalUmp,StategovernmentUmp,LocalgovernmentUmp,TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars
24,36.044,64.04,62.69,37.66,67.45,31.84,52.95,17.33,52.84,17.99,59.68,20.12,58.15,13.32,70.4,11.35,64.04,12.18,71.9,27.45,64.46,34.28,50.1,49.16,31.36,68.77,84.33,15.19,81.38,18.08,35.96,62.73,70.82,25.89,72.69,27.16,65.74,18.17,51.98,33.94,54.88,27.34,58.36,41.66,37.79,55.61,54.71,37.93,63.88,29.43,70.5,23.64,70.44,24.31,43.62,56.38,60.63,7.17,53209,54919,57515,3.2,4.7,313086208,319129918,325322723,333919546,1.9,1.9,2.6,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,66.6,3819497,3038946,780551,59304,721247,75401,3744096,3314457,14919,8698,12578,187146,340069,138456,359245,151858,55978,229224,153715,244556,93925,172516,92138,516599,98699,243194,200944,429639,32187,19829,377623,95106,282517,22236.7,3966.4,4868,868.31,9987,1781.4
25,29.046,70.91,63.28,35.5,62.95,36.04,54.79,15.3,55.19,16.84,57.02,20.67,57.31,13.87,65.22,12,59.87,12.85,69.17,29.27,57.46,41.93,62.34,35.59,38.29,59.74,80.25,18.89,79.51,19.63,23.83,74.29,68.77,28.83,75.86,23.45,60.62,16.47,47.16,35.65,42.04,25.41,54.66,45.1,39.39,46.68,52.55,32.39,50.76,27.68,58.31,23.46,60.54,23.03,45.12,54.88,50.06,8.22,35613,36375,37834,2.1,4,100242514,100656508,101515677,102837396,0.4,0.9,1.3,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,63.2,1617430,1223735,393695,29744,363951,39132,1578298,1306963,15192,9804,8057,85640,152794,39236,167988,70925,14216,61649,56032,59619,13584,104177,25134,163940,21106,138826,99044,271335,25562,27625,218148,64449,153699,23587.3,3853.1,5797,946.97,11504,1879.23
26,32.952,67.09,61.33,38.74,61.99,37.05,53.73,17.65,53.26,17.52,55.8,20.81,56.11,14.73,65.87,13.45,60.18,13.82,69.02,29.86,61.7,36.56,54.79,43.93,36.82,62.72,81.65,17.71,79.02,19.98,32.73,66.08,68.06,29.56,72.32,27.34,62.36,20.51,49.07,35.96,48.03,28.9,54.97,45.04,36.66,53.36,52.99,38.66,58.06,32.25,65.54,26.39,65.79,26.68,42.49,57.51,54.32,8.73,44336,45744,47746,3.2,4.4,276700378,275500454,278191917,284924112,-0.4,1,2.4,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,87.1,3821914,2993332,828582,87136,741446,95569,3726345,3253718,14910,7065,12206,199474,290839,134000,375971,150453,56130,207146,169509,232626,69659,206147,87685,462431,79231,284994,213242,472627,59184,35892,377551,104670,272881,14394.2,4828.6,2568,861.45,7799,2616.21
27,36.125,63.22,60.43,38.76,60.72,39.11,46.43,18.28,44.71,21.53,52.7,26.43,50.62,18.98,66.47,11.39,60.04,11.42,69.02,30.11,55.84,44,52.31,46.3,35.6,62.35,84.21,15.21,81.88,17.42,34.15,64.37,68.76,27.5,71.93,27.68,60.04,22.04,45.17,38.39,45.82,32.42,53.93,45.77,33.62,58.03,49.93,40.74,56.53,33.02,61.31,27.58,63.95,27.23,39.45,60.55,52.27,8.68,43721,45312,47538,3.6,4.9,44871442,44265422,45029245,46219700,-1.4,1.7,2.6,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,6.8,695247,501103,194144,22783,171361,29879,665368,569233,8491,10199,2936,50083,25553,19386,74774,21831,8339,28175,40350,41049,2723,27166,9620,78416,22264,60755,37123,96135,13368,7867,74900,26608,48292,5077.3,4786.9,965,909.81,2712,2556.89
28,32.633,67.27,59.9,40.14,59.97,39.48,50.93,18.15,50.19,18.59,51.16,22.54,53.78,16.31,64.1,13.33,57.92,13.33,68.1,30.6,59.58,39.29,54.66,44.61,39.1,60.55,82.24,17.14,79.36,20.31,32.63,66.18,68.31,29.68,70.84,28.85,60.34,22.63,46.01,38.1,45.22,30.79,54.04,45.87,34.71,56.97,50.64,40.92,55.48,34.38,62.21,29.99,62.52,29.97,39.96,60.04,51.73,9.07,49703,50663,53263,1.9,5.1,110325737,110812032,113110421,114169981,0.4,2.1,0.9,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,23.8,1342465,1052893,289572,38056,251516,54700,1287765,1112061,11895,2381,1231,78291,103680,43165,131638,68403,19940,87860,52753,67000,22739,67590,24391,146582,26933,85017,70572,175704,17013,12677,146014,34448,111566,34156,3290.1,8436,812.6,16182,1558.74
29,38.137,61.75,62.91,36.52,67.03,32.08,55.66,17.35,54.74,18.47,60.96,21.4,58.64,14.05,69.08,12.41,63.44,12.85,71.58,28.3,61.24,38.42,52.92,46.43,36.68,62.95,82.27,17.15,80.54,18.65,35.72,62.56,69.78,28.8,75.32,24.44,67.16,16.29,53.05,32.59,52.06,26.02,60,40.04,43.43,47.63,58.23,32.73,62.45,26.74,67.42,22.32,68.39,22.55,48,52,59.36,6.95,44967,46914,49176,4.3,4.8,135429189,139295513,143733369,149779867,2.9,3.2,4.2,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,24.6,1902080,1458453,443627,2938,440689,5064,1897016,1716835,2034,17940,4321,115771,65533,44575,181647,117258,22051,94337,110633,107541,34393,136808,19695,153917,61484,333499,93398,180181,19777,18932,141472,36818,104654,6138.3,8097.2,734,968.24,2702,3564.28
30,36.988,63,65.27,35.06,67.95,31.43,53.64,17.01,54.7,16.27,59.64,19.67,58.52,13.89,69.19,12.45,62.87,12.39,72.99,26.57,64.76,34.92,52.67,47.09,33.99,66.39,84.49,15.72,81.79,18.13,35.51,63.48,68.52,29.26,74.93,24.63,64.91,18.48,52.9,32.76,52.47,27.17,58.77,41.2,37.77,54.68,55.6,37.58,60.61,30.8,68.69,24.79,68.24,25.12,44.48,55.52,59.36,8,56480,58397,61294,3.4,5,71511135,72815608,74118843,75833174,1.8,1.8,2.3,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,147,904939,695650,209289,3851,205438,5171,899768,805303,3008,1108,2166,55626,76495,31294,111697,22128,15256,43396,42583,66474,10178,48397,32473,105068,25165,66207,46584,94465,7953,4560,81952,24787,57165,9214.6,4785.3,1587,824.16,4524,2349.39
31,36.515,63.42,72.86,26.75,75.52,23.84,59.44,14.75,60.6,15.43,67.29,15.73,63.4,10.42,74.07,10.22,68.52,10.2,77.26,21.77,66,32.76,48.01,51.7,28.72,70.92,84.8,14.37,83.63,14.96,30.48,68.01,72.5,23.39,80.61,18.91,71.36,12.34,58.47,29.95,58.31,22.84,66.02,33.92,45.13,46.38,62.15,28.99,68.42,21.87,73.26,17.32,74.47,16.73,51.61,48.39,66.26,5.51,62701,64924,68236,3.5,5.1,535299201,539942759,543530089,555755102,0.9,0.7,2.2,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,1195.5,5635957,4261715,1374242,8824,1365418,16960,5618997,5005433,6878,2824,15624,259038,267665,238333,536332,326272,87303,359262,356189,476879,97412,357721,139516,677914,133688,360024,306559,613564,48566,25097,539901,141741,398160,5837.2,4312.8,1923,1420.8,2319,1713.39
32,38.833,61.19,60.48,39.13,66.71,32.87,55.03,17.4,54.13,18.69,60.64,22.08,59.51,13.65,69.87,12.12,64.35,12.65,71.32,28.31,60.3,39.7,49.7,49.48,34.81,65.42,82.25,17.36,80.85,18.62,36.24,61.84,71.69,26.31,73.1,26.97,67.85,15.68,53.64,31.28,54.15,25.03,61.56,38.54,45.36,46.92,58.6,32.03,65.21,25.61,67.99,21.59,69.42,21.99,47.87,52.13,59.08,6.58,38825,39521,41609,1.8,5.3,91200832,91268262,91343606,93604628,0.1,0.1,2.5,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,17,1130618,889967,240651,21206,219445,28135,1102483,894535,6122,32532,4412,68119,34649,25341,109129,32079,14340,38162,43035,85125,6809,59333,16876,137269,27207,95956,58040,207948,29082,17874,160992,57597,103395,32960.7,3709.3,7521,846.39,16384,1843.81
33,39.504,60.16,74.94,24.52,74.82,23.95,61.2,13.98,62.18,14.22,66.29,13.71,64.95,8.82,74.11,9.74,68.71,9.32,78.53,19.74,66.95,31.8,50.64,48.78,27.26,71.31,86.7,12.39,84.39,14.89,33.4,65.15,73.84,23.63,82.68,16.92,73.89,11.16,57.38,30.21,58.15,21.91,68.82,30.94,47.1,44.75,64.2,27.25,67.86,21.57,73.17,16.7,74.89,16.52,54.38,45.62,68.33,4.96,61226,65644,68668,7.2,4.6,1372162790,1389680638,1418942002,1435636154,1.3,2.1,1.2,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,411.2,12873579,9914379,2959200,30605,2928595,52328,12821251,11316772,15340,10452,39242,572468,473942,366924,1077835,548910,324366,952084,740126,1041621,174282,674374,493058,1840125,396142,854912,720569,1504479,115237,55853,1333389,246166,1087223,8274.5,3953.9,1312,626.93,4769,2278.83
34,33.939,66.04,65.52,34.07,68.08,30.93,57.34,16.23,57.39,17.2,59.81,20.12,59.9,13.84,67.76,13.01,62.69,13.22,71.8,27.17,61.36,37.91,56.46,43.43,37.33,62.1,83.12,16.16,80.39,19.03,29.29,69.29,68.1,29.72,76.14,23.41,65.97,16.19,51.19,33.17,50.14,25.7,57.65,42.33,41.1,48.31,55.33,33.23,60.42,27.43,65.21,22.95,67.34,22.17,47.09,52.91,58.26,6.92,42651,44180,46117,3.6,4.4,469478788,475338993,485498603,497331293,1.2,2.1,2.4,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,196.1,6188601,4826288,1362313,38890,1323423,63087,6125514,5260146,26304,6284,15145,374764,499863,205121,610401,222126,92904,298502,284403,402691,92785,421106,143803,594005,142633,474264,353042,865368,74376,127121,663871,212514,451357,10346.9,3417.8,2057,679.47,5386,1779.11
35,30.309,69.43,52.67,47.43,51.23,48.79,44.47,19.61,42.9,21.15,45.22,27.73,48.92,19.33,61.98,13.06,55.3,13.42,64.98,33.73,53.13,46.3,62.99,37.13,42.7,56.09,82.24,17.49,79.24,20.23,31.16,67.55,68.51,29.86,63.54,36.55,55.35,27.46,39.9,43.02,40.44,34.75,48.89,50.94,30.19,61.93,44.71,46.49,48.96,39.45,58.19,33.74,59.01,34.48,34.08,65.92,45.74,10.31,52525,52669,55452,0.3,5.3,54901573,51036328,51014744,52872991,-7,0,3.6,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062,9.7,586904,456960,129944,23077,106867,28484,558420,469410,5240,25689,3526,37527,28275,25568,57219,26336,6981,28454,26035,23863,4110,18395,6661,70307,10007,37966,27251,89010,9320,11872,67818,23386,44432,60768.2,3111.5,19001,972.9,23527,1204.65
36,32.201,67.72,63.57,36.65,61.75,37.52,54.32,16.17,56.38,16.02,58.74,19.85,57.78,14.11,68.29,11.97,61.79,12.8,70.99,27.91,61.19,38.2,58.55,41.29,39.13,61.27,82.67,16.79,80.27,19.42,30.85,67.62,65.91,32.17,73.4,26.2,62.99,18.91,50.04,34.94,49.16,27.97,53.42,46.62,37.95,53.45,53.05,37.14,57.77,30.82,63.81,26.09,64.49,25.89,43.85,56.15,55.8,8.01,45040,46651,48739,3.6,4.5,580414093,585088902,594315188,605394561,0.8,1.6,1.9,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,282.3,7142330,5701013,1441317,70628,1370689,86259,7056071,6242241,16055,23361,19419,358094,730482,257132,673743,315799,86465,363234,291707,411487,151337,425923,147340,912213,153122,523311,382017,813830,79790,35812,698228,178117,520111,44271.5,3791.6,10366,887.79,19390,1660.64
37,30.773,69.02,59.04,40.51,59.62,39.96,51.02,18.94,49.86,20.17,52.76,27.55,51.87,20.34,61.91,14.03,57.68,14.79,65.13,34.87,55.79,43.38,60.05,39.42,41.15,56.59,78.26,21.84,77.64,21.03,29.61,68.93,63.61,31.69,71.48,28,58.65,23.77,46.22,38.21,40.47,32.35,51.64,48.32,35.55,54.8,50.17,39.82,53.25,34.85,58.33,31.24,59.89,30.93,40.52,59.48,47.09,9.94,41871,43634,46233,4.2,6,195902133,190109718,191544229,196524608,-3,0.8,2.6,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,54.7,2336794,1736582,600212,70647,529565,76389,2260405,1886626,10236,98057,11135,135721,150260,63919,224962,81204,25507,110852,93118,120162,24283,140580,31262,223562,37629,171204,132973,373779,49767,34740,289272,78536,210736,17063.9,4330.7,3276,831.43,8841,2243.78
38,41.173,58.64,63.88,35.95,68,31.4,56.06,18.53,53.17,21.4,61.79,22.08,60.22,14.42,69.95,12.94,65.35,13.04,71.98,27.7,62.72,36.13,43.58,55.24,29.53,70.45,82.39,16.84,80.9,18.48,41.41,57.07,69.95,27.78,77.33,22.42,69.35,16.41,53.81,32.42,56.71,26.51,59.84,39.97,42.12,51.64,58.64,34.51,66.71,26.64,69.4,22.65,71.64,22.14,48.96,51.04,60.54,7.45,46498,48372,50843,4,5.1,191999012,200948186,208625773,216561514,4.7,3.8,3.8,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,39.9,2619624,2021591,598033,35045,562988,68602,2551022,2254708,33668,4341,5069,146955,214380,84334,259275,102047,44083,99576,124714,177223,52968,135314,57097,304559,69436,204388,135281,296314,28548,11388,256378,41178,215200,14167.9,3387.9,2768,661.9,7669,1833.85
39,33.079,66.87,66.76,33.01,66.15,33.33,55.47,16.68,56.28,17.43,58.92,19.63,59.91,13.28,68.95,11.47,62.93,11.97,73.27,25.48,60.56,38.89,55.1,43.83,33.55,65.84,82.32,17.16,81.24,18,29.59,68.91,69.53,27.58,75.98,23.6,65.21,17.36,51.63,33.92,50.99,26.66,58.91,41.15,39.45,52.03,55.44,35.13,60.09,29.27,66,24.44,67.25,23.52,45.89,54.11,57.42,7.28,51614,53144,56225,3,5.8,681234571,689844386,693675632,711822173,1.3,0.6,2.6,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,283.9,7873779,6279312,1594467,48567,1545900,68971,7804808,7032545,19458,40914,24253,402150,605213,238922,748812,390380,105741,430389,327058,540792,147495,406385,312645,1152004,183380,518316,438238,772263,98276,34958,639029,187616,451413,48477.8,3787.1,13201,1031.27,20423,1595.45
40,37.952,62.28,65.26,35.22,69.38,29.23,57.87,16.59,59.16,14.95,62.19,17.68,62.65,11.5,70.51,12.67,64.57,12.88,74.05,25.7,66.56,33.15,51.78,49.05,31.5,69.75,83.81,16.5,81.23,18.63,37.1,61.76,69.62,28.9,75.69,24.09,68.74,15.72,55.68,30.83,56.24,24.08,61.69,38.42,42.91,49.55,59.45,33.84,64.9,27.25,70.3,22.33,70.51,22.38,48.77,51.23,63.08,6.73,50541,52379,54850,3.6,4.7,53096517,53090736,52989335,53624875,0,-0.2,1.2,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1018.1,656527,516468,140059,933,139126,1418,655109,580853,NaN,NaN,1516,32681,42015,18440,57028,20837,7623,38580,31371,43764,14259,37647,34309,90516,16996,55589,35399,74256,11193,6734,56329,23504,32825,3900.9,3686,1332,1258.62,1368,1292.64
41,31.812,68.07,65.06,34.39,64.82,33.99,55.94,16.05,55.73,17.39,57.84,20.79,57.91,14.64,66.34,12.64,61.18,13.04,70.11,28.18,59.64,39.57,54.66,44.12,34.86,63.95,82.59,16.59,80.04,18.95,26.58,72.01,67.38,28.3,75.69,23.74,63.31,16.79,48.22,35.31,46.78,26.48,55.79,44.11,39.41,49.41,53.02,33.84,57.63,28.2,62.83,23.61,63.26,23.88,45.44,54.57,54.23,8.07,40404,42081,43702,4.2,3.9,189899804,195459612,201872573,207202634,2.9,3.3,2.6,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,153.9,2901536,2268283,633253,21108,612145,27448,2874088,2457001,12381,4009,11919,166563,267974,81605,304058,104845,34273,123180,138961,163516,29739,227816,47535,244851,62080,255710,175986,417087,35084,53366,328637,101612,227025,20351.4,4002.9,4555,895.92,9820,1931.49
42,32.748,66.91,64.06,35.7,62.65,36.72,50.52,17.55,49.73,18.36,53.94,21.51,52.74,16.53,64.85,12.9,58.78,12.53,68.65,29.47,60.7,37.42,56.28,41.58,38.22,60.27,83.2,15.84,80.24,18.75,31.11,67.78,67.97,29.26,73.28,26.05,59.66,22.6,46.75,37.56,44.46,31.19,54.85,44.9,33.9,57.06,50.75,40.44,53.08,34.71,62.52,29.79,64.45,28.21,39.91,60.1,52.39,9.29,48627,49554,52216,1.9,5.4,45442579,45685462,45618910,46490474,0.5,-0.1,1.9,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659,10.7,617232,461941,155291,25648,129643,31273,585959,498876,6284,1992,2024,35806,47440,22682,66293,17959,6885,41658,27606,24239,6091,19700,10195,72615,13172,44997,31238,87083,11316,8216,67551,18683,48868,4294.8,4887.7,789,897.92,2097,2386.49
43,30.452,69.48,61.67,37.07,60.58,38.35,54.36,17.17,54.75,17.75,55.51,22.64,55.9,16.67,63.66,13.9,58.4,14.57,68.05,30.67,57.25,42.19,60.54,37.5,39.02,59.7,79.35,19.86,78.87,20.1,28.19,70.13,66.47,30.96,75.15,24.17,59.76,20.21,47.81,35.63,43.77,28.91,52.74,47.07,37.16,51.88,52.14,36.56,54.03,31.7,60.04,27.02,61.28,26.14,43.46,56.54,49.7,9.39,43726,44950,46900,2.8,4.3,301587229,308031570,313837242,323674896,2.1,1.9,3.1,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,153.9,4205777,3190477,1015300,64123,951177,74710,4131067,3677019,11622,7040,4036,234340,370414,133201,418037,238118,58656,199357,171192,240576,56980,314986,84472,435691,102167,336390,259744,454048,50594,20508,382946,94981,287965,27093.8,4001.1,5651,834.52,13302,1964.38
44,33.503,66.47,64,35.69,65.49,34.03,56.57,16.81,56.15,17.59,57.6,21.83,58.54,14.65,66.54,13.21,61.89,13.66,69.19,30.09,60.98,38.31,56.96,42.57,33.55,66.48,80.07,19.84,78.92,21.07,31.31,67.04,67.58,28.78,76.01,23.67,66.33,16.55,51.84,33.5,48.09,25.78,60.08,39.92,43.5,46.26,57.76,31.91,62.02,26.79,66.73,22.98,67.03,23.09,47.55,52.45,55.8,7.63,45616,47929,50355,5.1,5.1,1596361911,1600260157,1646264293,1712764025,0.2,2.9,4,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,96.3,18024338,13269719,4754619,223791,4530828,269410,17754928,15659657,68101,402927,56693,1250873,989115,668946,1655891,870485,263937,1112912,827037,1275230,219575,1196356,292314,1738525,319982,1383530,1067228,2095271,204813,178270,1712188,378381,1333807,153011.7,5344.7,20684,722.49,66799,2333.29
45,36.834,62.57,60.51,38.6,62.33,37.16,49.41,18.41,47.76,20.41,53.34,25.4,51.74,18.67,65.99,12.14,60.74,12.11,68.41,30.72,56.25,43.67,53.62,44.86,36.3,62.81,82.99,16.3,80.81,18.15,35.21,63.41,67.98,28.89,73.25,26.33,61.65,21.8,47.1,37.5,46.86,31.86,54.87,44.87,35.65,56.42,51.73,39.83,57.22,33.47,60.91,29.79,64.07,28.22,41.18,58.82,53.32,9.26,42375,44002,46320,3.8,5.3,141703271,147413991,153129113,158799690,4,3.9,3.7,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,33.6,2127017,1622060,504957,15679,489278,20654,2106363,1840989,4494,12518,4643,139455,146806,59578,217145,84343,45561,139549,122471,168041,32104,117764,71493,178052,50352,137854,108766,265374,37303,16661,211410,81984,129426,10284.9,3261.4,1708,541.62,5863,1859.19
46,39.344,60.77,67.52,33.07,71.65,27.8,54.93,16.14,56.37,15.73,63.27,17.52,62.64,11.03,72.84,11.2,66.14,11.28,76.16,23.45,67.51,32.67,49.69,51.27,29.88,70.91,86.53,13.7,83.67,16.23,38.44,60.4,71.5,26.69,76.02,23.76,69.39,14.89,55.81,30.26,57.55,23.92,62.9,37.11,40.89,52.93,58.95,34.63,65,26.94,72.78,20.67,72.53,21.26,47.68,52.32,65.02,6.23,50796,51976,54173,2.3,4.2,28906494,29362902,29406598,29750259,1.6,0.1,1.2,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989,67.9,441120,329628,111492,6439,105053,9316,431804,373742,3475,1078,1410,28917,33960,10441,45752,9771,5962,14616,16835,28701,2351,19517,18944,59911,12929,36428,22744,58062,7158,3953,46951,16804,30147,30612.1,3600.9,7341,863.52,14858,1747.75
47,36.232,63.7,68.41,31.15,69.27,30.44,58.15,15.59,58.43,16.67,62.16,18.61,61.17,12.7,70.81,12.15,64.81,12.09,73.38,25.18,63.6,35.6,50.35,48.89,32.34,67.32,84.86,14.36,81.81,17.67,31.05,67.55,69.67,27.34,78.11,21.43,68.63,14.4,54.81,30.83,54.05,24.47,60.8,39.12,42.59,47.6,58.04,31.74,64.53,25.14,69.86,20.19,71.48,19.96,49.02,50.98,62.14,6.51,53605,55306,57799,3.2,4.5,454952887,456676402,464792865,477005723,0.4,1.8,2.6,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,202.6,5407314,4257748,1149566,37358,1112208,50786,5356528,4463632,14093,9820,11271,299266,257928,122178,491290,222982,84528,239370,246994,587144,86506,327593,113041,521113,119358,381882,327275,892896,201455,138183,553258,166630,386628,2843.7,4554.7,961,1539.22,1063,1702.59
48,41.648,58.1,66.49,33.31,71.56,27.98,55.59,17.7,52.85,21.39,62,21.28,60.55,13.74,71.26,12.07,65.89,12.08,72.7,26.47,63.46,35.67,43.67,55.41,27.89,72.31,83.42,15.69,81.96,17.28,39.19,59.14,71.23,24.16,78.27,21.37,69.89,14.89,55.32,30.1,57.55,25.15,61.68,38.09,42.94,51.17,59.97,32.84,66.41,26.23,72.21,21.22,73.12,21.11,49.53,50.47,62.8,6.37,55884,58550,62026,4.8,5.9,444318461,459754336,483773411,511672438,3.5,5.2,5.8,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,101.2,4647252,3686545,960707,31298,929409,85292,4561960,3896840,44799,6114,5635,280497,313187,148231,469238,195130,157878,179260,221419,348925,50499,226252,82518,497030,114345,318579,237304,665120,75860,75113,514147,152058,362089,26321.2,3498.4,4747,630.93,15470,2056.15
49,28.255,71.51,51.77,47.73,50.85,48.75,46.72,20.32,45.2,21.88,47.25,30.72,50,22.22,60.36,14.3,54.79,15.16,64.61,34.64,48.38,52.14,61.04,39.61,40.49,59.37,80.35,19.56,77.7,21.93,28.17,70.56,64.35,30.81,64.2,35.83,54.25,27.85,39.23,43.39,37.96,35.81,45.09,54.79,30.6,59.72,43.29,45.73,49.06,39.24,53.16,34.98,54.87,35.92,35.05,64.95,44.49,10.09,36931,38644,40873,4.6,5.8,69761073,68901200,69903915,71481396,-1.2,1.5,2.3,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,77.1,895190,725804,169386,21109,148277,22655,872535,719028,3191,28706,5383,49004,49611,22170,98583,27882,9951,27730,27473,41083,7977,45478,13442,127135,15512,71416,47301,153507,24116,8508,120883,51033,69850,22698.7,3908.6,4907,844.96,10191,1754.84
50,33.329,66.42,65.7,34.53,67.55,31.87,52.5,15.77,54.61,16.51,57.35,19.53,57.7,13.75,69.15,10.87,62.46,11.52,72.83,26.21,62.09,37.34,55.86,43.39,33.44,66.27,84.74,14.64,82.09,17.67,31.19,67.22,67.64,28.36,74.12,25.45,63.68,17.92,52.54,33.66,50.82,27.63,55.44,44.49,37.56,54.15,54.25,36.7,62.11,28.73,67.43,23.2,67.57,23.41,43.42,56.58,58.73,7.38,47550,49290,51592,3.7,4.7,287164320,290750202,294657127,301622690,1.2,1.3,2.4,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,105,3753460,3044352,709108,59576,649532,86560,3666900,3231180,17385,5430,9112,186792,500297,134174,368950,142672,55163,190016,137861,183234,69623,179232,70541,440044,81306,264382,194966,435720,29389,15890,390441,114977,275464,8767.9,4859.5,1714,949.96,3968,2199.21
51,32.825,66.47,50.41,48.67,49.54,50.23,42.76,20.39,40.11,23.33,44.18,32.57,45.38,23.76,60.81,12.62,54.85,12.94,63.65,35.6,47.38,53.28,61.07,38.14,43.22,54.54,81.6,18.22,79.14,21.07,33.14,65.45,66.63,30.13,64.78,35.27,54.21,28.97,38.07,45.01,38.41,37.94,46.99,52.7,29.93,61.8,43.91,46.66,48.55,39.67,52.33,35.57,56.06,35.31,34.12,65.88,43.17,10.67,54610,56377,60361,3.2,7.1,39722980,38052902,37997098,38040029,-4.2,-0.1,0.1,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759,5.8,412765,297577,115188,10669,104519,14781,397984,322676,3524,25285,2525,31352,12506,9580,38090,15507,4594,20505,25349,19318,1916,14180,4199,30903,8357,36478,18508,75308,7579,6137,61592,15801,45791,4996.9,8651.2,526,910.67,2315,4007.99
